"","x"
"1578",12.1743
"1579",11.7941
"1580",12.3356
"1581",12.4082
"1582",12.7059
"1583",12.6196
"1584",12.2545
"1585",12.1871
"1586",12.823
"1587",12.5661
"1588",12.6438
"1589",12.3755
"1590",13.1603
"1591",12.3524
"1592",10.83
"1593",11.5314
"1594",12.1136
"1595",11.7975
"1596",11.8388
"1597",11.5472
"1598",11.5315
"1599",11.8382
"1600",11.8258
"1601",12.2626
"1602",12.428
"1603",13.6822
"1604",13.8764
"1605",14.2026
"1606",14.179
"1607",14.3168
"1608",13.8417
"1609",14.2787
"1610",15.0416
"1611",14.9243
"1612",14.2038
"1613",14.374
"1614",14.1746
"1615",14.5824
"1616",14.3347
"1617",14.4749
"1618",14.4327
"1619",14.343
"1620",13.9281
"1621",14.2834
"1622",15.0183
"1623",14.8899
"1624",15.4052
"1625",16.1034
"1626",15.403
"1627",14.8016
"1628",14.0515
"1629",14.3782
"1630",14.9773
"1631",15.2436
"1632",15.8855
"1633",14.7763
"1634",15.1589
"1635",14.4074
"1636",15.6163
"1637",14.5425
"1638",13.8549
"1639",14.0205
"1640",14.5708
"1641",14.934
"1642",16.1961
"1643",15.4587
"1644",15.5886
"1645",15.8233
"1646",17.2514
"1647",14.9589
"1648",15.8869
"1649",15.1951
"1650",17.7566
"1651",17.0087
"1652",14.3805
"1653",14.2813
"1654",14.8654
"1655",15.1708
"1656",14.905
"1657",15.3186
"1658",16.6873
"1659",14.7452
"1660",14.8291
"1661",14.9923
"1662",15.9409
"1663",15.5392
"1664",16.4278
"1665",15.1966
"1666",15.7602
"1667",15.5045
"1668",14.726
"1669",14.4335
"1670",14.0058
"1671",13.9184
"1672",15.0513
"1673",14.9825
"1674",14.7264
"1675",14.6998
"1676",16.132
"1677",15.8741
"1678",15.9299
"1679",15.1322
